	locale	id_specialization	name	description	description_after	medical_dictionary	tokens
1251	en-US	768	Back injuries 			"<p>Backaches are the most common muscular ailments, which noticed the painful area because of some trauma or contracture. It is very common type of muscle injuries occur in the back or sore that we notice because of trauma or contracture. There are other injuries and chronic back pain.</p>
"	['backach', 'common', 'muscular', 'ailment', 'notic', 'pain', 'area', 'becaus', 'trauma', 'contractur', 'It', 'veri', 'common', 'type', 'muscl', 'injuri', 'occur', 'back', 'sore', 'notic', 'becaus', 'trauma', 'contractur', 'injuri', 'chronic', 'back', 'pain']
1254	en-US	273	Vitiligo 			<div> Vitiligo is a condition that involves progressive depigmentation of various skin areas. This disease is caused by the destruction of certain cells responsible for producing melanin, a pigment skin. Depigmented areas of skin can take many forms: spread throughout the body in specific locations (for example, only one side of the body), as a single spot, or spread over the face and extremities. It can appear at any age and, although the causes that give rise are unclear, often vitiligo is associated with pathologies of autoimmune origin (Addison&#39;s disease, diabetes, disorders of the thyroid, etc.), so it should be a diagnosis of each patient. Depending on each case, the treatment will vary, which can range from corticosteroids or immunomodulatory medications, laser therapies and even ultraviolet light for stains or micro grafts of skin surgically. </div>	['vitiligo', 'condit', 'involv', 'progress', 'depigment', 'variou', 'skin', 'area', 'thi', 'diseas', 'caus', 'destruct', 'certain', 'cell', 'respons', 'produc', 'melanin', 'pigment', 'skin', 'depig', 'area', 'skin', 'take', 'mani', 'form', 'spread', 'throughout', 'bodi', 'specif', 'locat', 'exampl', 'onli', 'one', 'side', 'bodi', 'singl', 'spot', 'spread', 'face', 'extrem', 'It', 'appear', 'ani', 'age', 'although', 'caus', 'give', 'rise', 'unclear', 'often', 'vitiligo', 'associ', 'patholog', 'autoimmun', 'origin', 'addison', 'diseas', 'diabet', 'disord', 'thyroid', 'etc', 'diagnosi', 'patient', 'depend', 'case', 'treatment', 'vari', 'rang', 'corticosteroid', 'immunomodulatori', 'medic', 'laser', 'therapi', 'even', 'ultraviolet', 'light', 'stain', 'micro', 'graft', 'skin', 'surgic']
1260	en-US	274	Coaching (personal growth) 			<p></p><p> Coaching is a new psychological discipline that involves a process of advice and personalized training in the &#39;coach&#39; (or coach) accompanies the subject in their personal development to achieve the goals or goals scored. During this process, working to get the person to discover and optimize their skills and performances, building and raising self-confidence and discovering or developing latent abilities or talents. Depending on the case, of the person and its objectives, it is necessary to deepen situations and personal relationships to get rid of certain disabilities or personality traits that prevent them from advancing in different areas of their lives. Thus, this new discipline achieved highly satisfactory results and allows the personal growth of individuals, making the scope of both professional and personal long-term goals. </p>	['coach', 'new', 'psycholog', 'disciplin', 'involv', 'process', 'advic', 'person', 'train', 'coach', 'accompani', 'subject', 'person', 'develop', 'achiev', 'goal', 'goal', 'score', 'dure', 'thi', 'process', 'work', 'get', 'person', 'discov', 'optim', 'skill', 'perform', 'build', 'rais', 'discov', 'develop', 'latent', 'abil', 'talent', 'depend', 'case', 'person', 'object', 'necessari', 'deepen', 'situat', 'person', 'relationship', 'get', 'rid', 'certain', 'disabl', 'person', 'trait', 'prevent', 'advanc', 'differ', 'area', 'live', 'thu', 'thi', 'new', 'disciplin', 'achiev', 'highli', 'satisfactori', 'result', 'allow', 'person', 'growth', 'individu', 'make', 'scope', 'profession', 'person', 'goal']
1264	en-US	275	Family Mediation 			<p></p><p> Family mediation is a process for managing conflicts arising within a family, carried out by the figure of a mediator, a specialist in this type of crisis (psychologist, social worker ...) impartial professional. The aim of mediation is to reach consensual decisions and fair agreements for the benefit of all parties involved in the conflict. For this, the mediator offers assistance and guidance to family members affected by the crisis, facilitating dialogue and communication to achieve a negotiation between all of the most harmonious way possible, avoiding emotionally harm the most vulnerable members of the family as the children. </p>	['famili', 'mediat', 'process', 'manag', 'conflict', 'aris', 'within', 'famili', 'carri', 'figur', 'mediat', 'specialist', 'thi', 'type', 'crisi', 'psychologist', 'social', 'worker', 'imparti', 'profession', 'aim', 'mediat', 'reach', 'consensu', 'decis', 'fair', 'agreement', 'benefit', 'parti', 'involv', 'conflict', 'thi', 'mediat', 'offer', 'assist', 'guidanc', 'famili', 'member', 'affect', 'crisi', 'facilit', 'dialogu', 'commun', 'achiev', 'negoti', 'harmoni', 'way', 'possibl', 'avoid', 'emot', 'harm', 'vulner', 'member', 'famili', 'children']
1270	en-US	276	Self-esteem disorder			"<p>Self-esteem is the ability of a person to be assessed, love and accept yourself. The development of self-esteem occurs in middle childhood, where the inviduo compares its&quot;real self&quot; a&quot;ideal self&quot; and people around. A psychological treatment to increase self-esteem is based on a series of exercises and avoid negative thoughts, be aware of the achievements, trust yourself, set goals, not comparable. All this training leads people to feel positive and recognize their own worth. Improve self-esteem has repercussions in our personal lives ( either ourselves or social relations ) and also at work. For all this, the study of self-esteem and creating patterns of behavior to improve it is fundamental in psychology.</p>
"	['abil', 'person', 'assess', 'love', 'accept', 'develop', 'occur', 'middl', 'childhood', 'inviduo', 'compar', 'real', 'self', 'ideal', 'self', 'peopl', 'around', 'A', 'psycholog', 'treatment', 'increas', 'base', 'seri', 'exercis', 'avoid', 'neg', 'thought', 'awar', 'achiev', 'trust', 'set', 'goal', 'compar', 'thi', 'train', 'lead', 'peopl', 'feel', 'posit', 'recogn', 'worth', 'improv', 'ha', 'repercuss', 'person', 'live', 'either', 'ourselv', 'social', 'relat', 'also', 'work', 'thi', 'studi', 'creat', 'pattern', 'behavior', 'improv', 'fundament', 'psycholog']
1274	en-US	277	Diet 			<p> It is a discipline that studies the diets that would best suit a person according to his condition or state of health. It is responsible for studying, monitoring, and recom health habits to patients in order to improve their health. </p>	['It', 'disciplin', 'studi', 'diet', 'would', 'best', 'suit', 'person', 'accord', 'hi', 'condit', 'state', 'health', 'It', 'respons', 'studi', 'monitor', 'recom', 'health', 'habit', 'patient', 'order', 'improv', 'health']
1278	en-US	278	Anthropometric study 			"<div>&nbsp;</div>

<div>The anthropometric survey is made up a series of tests or data showing individual aspects of their body condition and the composition of your body, helping to reveal your overall health, especially in nutritional value. These tests help to detect problems such as overweight or malnutrition and serve to adjust the diets to the personal needs of each individual, especially in the diets. The study is based on weight, height, body mass index (BMI), your bone complexion (waist circumference, hip and arm) and bioelectrical impedance analysis (try to find out the whole body mass to estimate fat mass and body fat percentage). All this information is complemented by the valuation of the daily energy needs of the subject, depending on their age, sex, daily activities and sports.</div>
"	['anthropometr', 'survey', 'made', 'seri', 'test', 'data', 'show', 'individu', 'aspect', 'bodi', 'condit', 'composit', 'bodi', 'help', 'reveal', 'overal', 'health', 'especi', 'nutrit', 'valu', 'test', 'help', 'detect', 'problem', 'overweight', 'malnutrit', 'serv', 'adjust', 'diet', 'person', 'need', 'individu', 'especi', 'diet', 'studi', 'base', 'weight', 'height', 'bodi', 'mass', 'index', 'bmi', 'bone', 'complexion', 'waist', 'circumfer', 'hip', 'arm', 'bioelectr', 'imped', 'analysi', 'tri', 'find', 'whole', 'bodi', 'mass', 'estim', 'fat', 'mass', 'bodi', 'fat', 'percentag', 'thi', 'inform', 'complement', 'valuat', 'daili', 'energi', 'need', 'subject', 'depend', 'age', 'sex', 'daili', 'activ', 'sport']
1285	en-US	279	Weight Control 			<div></div><div> Weight control is a strategy to keep us healthy and prevent future illness. It applies routinely in people who already have some type of chronic disease such as diabetes, hypertension, high cholesterol or obesity, but where else is done in cases where people need to lose weight. In addition, weight control is also very effective for patients who need to gain weight or value growth, for example, in the infant stage in circumstances where it is necessary to consider whether an adequate intake of nutrients is performed. In addition, it is also indicated for cases of eating disorders such as anorexia or bulimia, and for proper recovery from illness and surgery. However, the so-called ideal weight is associated almost always tend to lose weight imposed by modern society, although it is set by applying the formula for body mass index (BMI): weight (kg) / height (m2). This calculation indicates the weight range in which we find but is only applicable to adults. Normally it considered ideal BMI to be between 18 and 25 women, and 20 to 25 in men. </div>	['weight', 'control', 'strategi', 'keep', 'us', 'healthi', 'prevent', 'futur', 'ill', 'It', 'appli', 'routin', 'peopl', 'alreadi', 'type', 'chronic', 'diseas', 'diabet', 'hypertens', 'high', 'cholesterol', 'obes', 'els', 'done', 'case', 'peopl', 'need', 'lose', 'weight', 'In', 'addit', 'weight', 'control', 'also', 'veri', 'effect', 'patient', 'need', 'gain', 'weight', 'valu', 'growth', 'exampl', 'infant', 'stage', 'circumst', 'necessari', 'consid', 'whether', 'adequ', 'intak', 'nutrient', 'perform', 'In', 'addit', 'also', 'indic', 'case', 'eat', 'disord', 'anorexia', 'bulimia', 'proper', 'recoveri', 'ill', 'surgeri', 'howev', 'ideal', 'weight', 'associ', 'almost', 'alway', 'tend', 'lose', 'weight', 'impos', 'modern', 'societi', 'although', 'set', 'appli', 'formula', 'bodi', 'mass', 'index', 'bmi', 'weight', 'kg', 'height', 'thi', 'calcul', 'indic', 'weight', 'rang', 'find', 'onli', 'applic', 'adult', 'normal', 'consid', 'ideal', 'bmi', 'women', 'men']
1289	en-US	289	Elbow 			"<p>The elbow is the joint that joins the arm with the forearm. The main joint that constitutes the elbow is called the radio-ulnar humerus and can be divided into two parts.</p>
"	['elbow', 'joint', 'join', 'arm', 'forearm', 'main', 'joint', 'constitut', 'elbow', 'call', 'humeru', 'divid', 'two', 'part']
1290	en-US	280	Preventive Nutrition 			"<p>Preventive nutrition is one of the most effective tools we have today to stop or reduce the occurrence of diseases arising in response to a deficiency or poor eating habits. Thus, it is possible to educate the individual to acquire a healthy way of eating, taking care of the body and prevent the presence of unwanted diseases. Through outreach and education, which should already begin at school, and even in the centers of the elderly, a good healthy habits are inculcated. In addition, also they offered advice and personalized diets through health centers, where they work to achieve improved quality of life for those patients who already have a chronic illness or are genetically predisposed to suffer.</p>
"	['prevent', 'nutrit', 'one', 'effect', 'tool', 'today', 'stop', 'reduc', 'occurr', 'diseas', 'aris', 'respons', 'defici', 'poor', 'eat', 'habit', 'thu', 'possibl', 'educ', 'individu', 'acquir', 'healthi', 'way', 'eat', 'take', 'care', 'bodi', 'prevent', 'presenc', 'unwant', 'diseas', 'outreach', 'educ', 'alreadi', 'begin', 'school', 'even', 'center', 'elderli', 'good', 'healthi', 'habit', 'inculc', 'In', 'addit', 'also', 'offer', 'advic', 'person', 'diet', 'health', 'center', 'work', 'achiev', 'improv', 'qualiti', 'life', 'patient', 'alreadi', 'chronic', 'ill', 'genet', 'predispos', 'suffer']
1294	en-US	281	Diabetes Diet 			"<div>&nbsp;</div>

<div>Diabetes nutrition should be the basic principle of all those patients who wish to have a good control of the disease in both type I diabetes, or insulin, as in type II. The diabetic patient should meet their nutritional needs with nutritionist and establish the foundations for proper control of the disease, based on three pillars: diet, insulin and exercise. Depending on the dose of insulin required (in cases of type I diabetes) and exercise or daily activity carried out in addition to consider other aspects such as developing other diseases diet will be personalized. Furthermore, in diabetes diet 5 meals a day are performed, to always be possible at the same time, in amounts somewhat lower than usual, without neglecting any of the food groups (carbohydrates, fruit, vegetables, proteins, fats, vitamins and minerals, and water) and balancing carbohydrate intake (65%), protein (15%) and fat (30%). Besides, avoid foods high in cholesterol (sausages and fats) and try to always eat fresh food (never prepared), and control the presence of chromium, zinc and sodium in the diet. Regarding called diabetic food, despite being considered suitable for diet, it is not advisable abused are prepared as products.</div>
"	['diabet', 'nutrit', 'basic', 'principl', 'patient', 'wish', 'good', 'control', 'diseas', 'type', 'I', 'diabet', 'insulin', 'type', 'II', 'diabet', 'patient', 'meet', 'nutrit', 'need', 'nutritionist', 'establish', 'foundat', 'proper', 'control', 'diseas', 'base', 'three', 'pillar', 'diet', 'insulin', 'exercis', 'depend', 'dose', 'insulin', 'requir', 'case', 'type', 'I', 'diabet', 'exercis', 'daili', 'activ', 'carri', 'addit', 'consid', 'aspect', 'develop', 'diseas', 'diet', 'person', 'furthermor', 'diabet', 'diet', 'meal', 'day', 'perform', 'alway', 'possibl', 'time', 'amount', 'somewhat', 'lower', 'usual', 'without', 'neglect', 'ani', 'food', 'group', 'carbohydr', 'fruit', 'veget', 'protein', 'fat', 'vitamin', 'miner', 'water', 'balanc', 'carbohydr', 'intak', 'protein', 'fat', 'besid', 'avoid', 'food', 'high', 'cholesterol', 'sausag', 'fat', 'tri', 'alway', 'eat', 'fresh', 'food', 'never', 'prepar', 'control', 'presenc', 'chromium', 'zinc', 'sodium', 'diet', 'regard', 'call', 'diabet', 'food', 'despit', 'consid', 'suitabl', 'diet', 'advis', 'abus', 'prepar', 'product']
1300	en-US	282	Menopause Diet 			<p></p><p> Menopause is a stage in women which is characterized by a decrease in estrogen. Although not a disease, this phase of life can lead to discomfort, physical and psychological, that require attention and care to prevent future ailments. Among them, we must analyze and adapt the diet of women nutrition for menopause and osteoporosis, which can help cope with this change in the body. Input, diet during menopause should not change if eating habits were correct, it must be preventive to help maintain good health. Therefore, it must be balanced and low in fat to avoid being overweight, the appearance of excess cholesterol or diabetes. In addition, they may be required calcium supplements to suit the diet for osteoporosis, thinning of the bones to which many women at this stage and that this diet slows, strengthening bone maintenance with adequate calcium and vitamin D disease . </p>	['menopaus', 'stage', 'women', 'character', 'decreas', 'estrogen', 'although', 'diseas', 'thi', 'phase', 'life', 'lead', 'discomfort', 'physic', 'psycholog', 'requir', 'attent', 'care', 'prevent', 'futur', 'ailment', 'among', 'must', 'analyz', 'adapt', 'diet', 'women', 'nutrit', 'menopaus', 'osteoporosi', 'help', 'cope', 'thi', 'chang', 'bodi', 'input', 'diet', 'dure', 'menopaus', 'chang', 'eat', 'habit', 'correct', 'must', 'prevent', 'help', 'maintain', 'good', 'health', 'therefor', 'must', 'balanc', 'low', 'fat', 'avoid', 'overweight', 'appear', 'excess', 'cholesterol', 'diabet', 'In', 'addit', 'may', 'requir', 'calcium', 'supplement', 'suit', 'diet', 'osteoporosi', 'thin', 'bone', 'mani', 'women', 'thi', 'stage', 'thi', 'diet', 'slow', 'strengthen', 'bone', 'mainten', 'adequ', 'calcium', 'vitamin', 'D', 'diseas']
1304	en-US	283	Post-digestive surgery diet 			<p></p><p> The post-surgery digestive nutrition is essential in the recovery of patients who have undergone surgery. Often presented malnutrition or impaired nutritional status before surgery, due to the pathology present, and this is exacerbated by the surgery itself, by the fasting period involved and the possible postoperative complications. Therefore the post-surgery digestive diet should avoid malnutrition and maintain muscle, immune and cognitive function of the body trying to reduce the stress that may have resulted in such surgery and improve postoperative recovery. The most common is called to perform a progressive diet, that is, passing through different stages of introduction of foods depending on the pathology to present the sick before his speech and general health to present today. Generally, it is decided first by an intravenous feeding (serums, etc.) to pass then to introduce the liquid diet assessing the effects on patients in order to keep hydrated (water, liquid egg and liquid complete ) adding more foods to the diet by increasing acceptance: water, tea, sugar, broth, decaffeinated coffee and tea, cereal beverages, fruit drinks, jelly, honey, hard candy, milk, yogurt, boiled corn, boiled vegetables pureed fruit juices without seeds. The next phase is to introduce own a bland diet foods to pass current hospital diet or diet. </p>	['digest', 'nutrit', 'essenti', 'recoveri', 'patient', 'undergon', 'surgeri', 'often', 'present', 'malnutrit', 'impair', 'nutrit', 'statu', 'befor', 'surgeri', 'due', 'patholog', 'present', 'thi', 'exacerb', 'surgeri', 'fast', 'period', 'involv', 'possibl', 'postop', 'complic', 'therefor', 'digest', 'diet', 'avoid', 'malnutrit', 'maintain', 'muscl', 'immun', 'cognit', 'function', 'bodi', 'tri', 'reduc', 'stress', 'may', 'result', 'surgeri', 'improv', 'postop', 'recoveri', 'common', 'call', 'perform', 'progress', 'diet', 'pass', 'differ', 'stage', 'introduct', 'food', 'depend', 'patholog', 'present', 'sick', 'befor', 'hi', 'speech', 'gener', 'health', 'present', 'today', 'gener', 'decid', 'first', 'intraven', 'feed', 'serum', 'etc', 'pass', 'introduc', 'liquid', 'diet', 'assess', 'effect', 'patient', 'order', 'keep', 'hydrat', 'water', 'liquid', 'egg', 'liquid', 'complet', 'ad', 'food', 'diet', 'increas', 'accept', 'water', 'tea', 'sugar', 'broth', 'decaffein', 'coffe', 'tea', 'cereal', 'beverag', 'fruit', 'drink', 'jelli', 'honey', 'hard', 'candi', 'milk', 'yogurt', 'boil', 'corn', 'boil', 'veget', 'pure', 'fruit', 'juic', 'without', 'seed', 'next', 'phase', 'introduc', 'bland', 'diet', 'food', 'pass', 'current', 'hospit', 'diet', 'diet']
1308	en-US	284	Hypertension Diet 			<p></p><p> Hypertension is a chronic disruption of normal blood pressure (140 mm Hg systolic and 90 mm Hg diastolic pressure) that can have serious consequences for cardiovascular health. It is associated with some diseases (high cholesterol, diabetes, smoking, stress, overweight or sedentary), the consumption of some drugs, and poor eating habits. That is why nutrition for hypertension should focus on adapting and improving these customs with the aim of reducing these levels of blood pressure, and hypertension diet should be low in salt. The body needs daily 1.25 g of salt and should consume maximum dose is the equivalent of a teaspoon (6 g) because, well, most foods already contain salt or other seasonings. In power for hypertension should avoid eating or packaged convenience products, such as packet soups, pizzas, sausages, etc. Also, avoid exciting drinks (coffee, especially), alcohol, snuff and follow a diet rich in vegetables, fruits and, in general, foods that contain little fat. </p>	['hypertens', 'chronic', 'disrupt', 'normal', 'blood', 'pressur', 'mm', 'Hg', 'systol', 'mm', 'Hg', 'diastol', 'pressur', 'seriou', 'consequ', 'cardiovascular', 'health', 'It', 'associ', 'diseas', 'high', 'cholesterol', 'diabet', 'smoke', 'stress', 'overweight', 'sedentari', 'consumpt', 'drug', 'poor', 'eat', 'habit', 'whi', 'nutrit', 'hypertens', 'focu', 'adapt', 'improv', 'custom', 'aim', 'reduc', 'level', 'blood', 'pressur', 'hypertens', 'diet', 'low', 'salt', 'bodi', 'need', 'daili', 'g', 'salt', 'consum', 'maximum', 'dose', 'equival', 'teaspoon', 'g', 'becaus', 'well', 'food', 'alreadi', 'contain', 'salt', 'season', 'In', 'power', 'hypertens', 'avoid', 'eat', 'packag', 'conveni', 'product', 'packet', 'soup', 'pizza', 'sausag', 'etc', 'also', 'avoid', 'excit', 'drink', 'coffe', 'especi', 'alcohol', 'snuff', 'follow', 'diet', 'rich', 'veget', 'fruit', 'gener', 'food', 'contain', 'littl', 'fat']
1314	en-US	285	Oncology nutrition			<p></p><p> Cancer patients suffer alterations of appetite caused almost always by the same tumor and medication to which they are exposed. The sense of taste is affected causing reluctance and cause malnutrition and severe weight loss. Oncology nutrition must ensure that the patient receives enough nutrients for the proper functioning of your body at the stage of cancer treatment, and for that reason should contemplate the easiest and most convenient way to feed the patient. The key is to: increase the intake of protein and calories, presented in small amounts, to a warm or cold temperature, through bland foods and very nutritious; and chew slowly, avoiding chewing hard food or are cut into pieces very grades (in the case of meat, for example); not drinking during meals; fostering a relaxed atmosphere that mitigates the wrong moment can make food, since many cancer patients have associated the act of eating problems (such as nausea, vomiting, diarrhea ...). </p>	['cancer', 'patient', 'suffer', 'alter', 'appetit', 'caus', 'almost', 'alway', 'tumor', 'medic', 'expos', 'sens', 'tast', 'affect', 'caus', 'reluct', 'caus', 'malnutrit', 'sever', 'weight', 'loss', 'oncolog', 'nutrit', 'must', 'ensur', 'patient', 'receiv', 'enough', 'nutrient', 'proper', 'function', 'bodi', 'stage', 'cancer', 'treatment', 'reason', 'contempl', 'easiest', 'conveni', 'way', 'feed', 'patient', 'key', 'increas', 'intak', 'protein', 'calori', 'present', 'small', 'amount', 'warm', 'cold', 'temperatur', 'bland', 'food', 'veri', 'nutriti', 'chew', 'slowli', 'avoid', 'chew', 'hard', 'food', 'cut', 'piec', 'veri', 'grade', 'case', 'meat', 'exampl', 'drink', 'dure', 'meal', 'foster', 'relax', 'atmospher', 'mitig', 'wrong', 'moment', 'make', 'food', 'sinc', 'mani', 'cancer', 'patient', 'associ', 'act', 'eat', 'problem', 'nausea', 'vomit', 'diarrhea']
1318	en-US	286	Kids diet			<p></p><p> Child nutrition must be something to work both by the family and by the health authorities and school. It is important to show children the importance of good eating habits for proper physical and intellectual development, and instaurarle a suitable eating habits. A diet for children should be balanced, delivering food into five meals and following these principles: to present fresh and varied products daily (vegetables, milk, meat ...), including the intake of five fruits and vegetables a day, predominate cereals and whole grains instead of refined, not abuse fried and cook whenever it can be steamed or grilled, avoiding &quot;junk food&quot; and precooked, and control the consumption of sugary drinks and sweets. If the infant feeding is not appropriate, the child may develop certain cardiovascular diseases, or suffer overweight and obesity. </p>	['child', 'nutrit', 'must', 'someth', 'work', 'famili', 'health', 'author', 'school', 'It', 'import', 'show', 'children', 'import', 'good', 'eat', 'habit', 'proper', 'physic', 'intellectu', 'develop', 'instaurarl', 'suitabl', 'eat', 'habit', 'A', 'diet', 'children', 'balanc', 'deliv', 'food', 'five', 'meal', 'follow', 'principl', 'present', 'fresh', 'vari', 'product', 'daili', 'veget', 'milk', 'meat', 'includ', 'intak', 'five', 'fruit', 'veget', 'day', 'predomin', 'cereal', 'whole', 'grain', 'instead', 'refin', 'abus', 'fri', 'cook', 'whenev', 'steam', 'grill', 'avoid', 'junk', 'food', 'precook', 'control', 'consumpt', 'sugari', 'drink', 'sweet', 'If', 'infant', 'feed', 'appropri', 'child', 'may', 'develop', 'certain', 'cardiovascular', 'diseas', 'suffer', 'overweight', 'obes']
1322	en-US	287	Breastfeeding Diet 			<p> Pregnancy and breastfeeding are two moments in the life of women in the caloric needs are increased by the intrauterine fetal growth, in the first case and the preparation for milk production in the second. This requires a dietary adaptation to the new situation that will be given by the monitoring of a nutrition during pregnancy and lactation diet to ensure proper welfare of mother and child. In both cases, you should follow a balanced diet of 5 meals a day, with plenty of fresh produce (fruits, vegetables), vitamins, cereals, legumes, few sugars and fats, and an extra supply of nutrients during pregnancy of 300 kcal and 500 kcal in infancy. In no case it is healthy eating less or more of the recommended by the specialist to avoid excessive weight loss or to the mother. Also during pregnancy it is also required an extra intake of vitamin B12, iron, and in some cases, calcium. The food that the mother consumes during pregnancy and lactation shape the overall health of the baby and favor the quality of breast milk. </p>	['pregnanc', 'breastfeed', 'two', 'moment', 'life', 'women', 'calor', 'need', 'increas', 'intrauterin', 'fetal', 'growth', 'first', 'case', 'prepar', 'milk', 'product', 'second', 'thi', 'requir', 'dietari', 'adapt', 'new', 'situat', 'given', 'monitor', 'nutrit', 'dure', 'pregnanc', 'lactat', 'diet', 'ensur', 'proper', 'welfar', 'mother', 'child', 'In', 'case', 'follow', 'balanc', 'diet', 'meal', 'day', 'plenti', 'fresh', 'produc', 'fruit', 'veget', 'vitamin', 'cereal', 'legum', 'sugar', 'fat', 'extra', 'suppli', 'nutrient', 'dure', 'pregnanc', 'kcal', 'kcal', 'infanc', 'In', 'case', 'healthi', 'eat', 'less', 'recommend', 'specialist', 'avoid', 'excess', 'weight', 'loss', 'mother', 'also', 'dure', 'pregnanc', 'also', 'requir', 'extra', 'intak', 'vitamin', 'iron', 'case', 'calcium', 'food', 'mother', 'consum', 'dure', 'pregnanc', 'lactat', 'shape', 'overal', 'health', 'babi', 'favor', 'qualiti', 'breast', 'milk']
1329	en-US	288	Diet for cholesterol 			"<div>Cholesterol diets aim to reduce high blood cholesterol levels. Cholesterol is an alteration in the production of so-called &quot;bad&quot; fats, and a deficiency in their synthesis and metabolism by the liver. This can lead to arteriosclerosis (accession of this fat in the arteries) so it is advisable to keep it at adequate levels, as with triglycerides. To this end nutrition cholesterol and triglycerides includes a number of foods that decrease blood levels. The general recommendation for cholesterol diet is to restrict the intake of saturated fats or animal, avoid refined sugars and all the bakery as well as butter, cream and meat, especially pork, etc. Instead, we must consume food to lower cholesterol such as whole and skim those without any fat, and cooked grilled or boiled, avoiding fried foods, sauces and ready meals. However, when not able to reduce these levels over a period of three months should seek medical drug delivery.</div>
"	['cholesterol', 'diet', 'aim', 'reduc', 'high', 'blood', 'cholesterol', 'level', 'cholesterol', 'alter', 'product', 'bad', 'fat', 'defici', 'synthesi', 'metabol', 'liver', 'thi', 'lead', 'arteriosclerosi', 'access', 'thi', 'fat', 'arteri', 'advis', 'keep', 'adequ', 'level', 'triglycerid', 'To', 'thi', 'end', 'nutrit', 'cholesterol', 'triglycerid', 'includ', 'number', 'food', 'decreas', 'blood', 'level', 'gener', 'recommend', 'cholesterol', 'diet', 'restrict', 'intak', 'satur', 'fat', 'anim', 'avoid', 'refin', 'sugar', 'bakeri', 'well', 'butter', 'cream', 'meat', 'especi', 'pork', 'etc', 'instead', 'must', 'consum', 'food', 'lower', 'cholesterol', 'whole', 'skim', 'without', 'ani', 'fat', 'cook', 'grill', 'boil', 'avoid', 'fri', 'food', 'sauc', 'readi', 'meal', 'howev', 'abl', 'reduc', 'level', 'period', 'three', 'month', 'seek', 'medic', 'drug', 'deliveri']
1332	en-US	296	Shoulder 			"<p>Shoulder&nbsp;</p>
"	['shoulder']
1334	en-US	290	Epicondylitis 			"<p>&nbsp;</p>

<p>Epicondylitis is an elbow injury that often suffer from people doing jobs that involve repetitive arm movements such as tennis players. Therefore, he is also known as tennis elbow. This condition affects the muscles and tendons located on the outside of the elbow. The clearest symptom is swelling and pain in the area, which can spread to other muscles near the elbow. Usually, the trouble is most noticeable during working hours and after the completion of efforts like picking up objects by hand, which sometimes causes the patient lack of strength in his forearm. The usual treatment includes rest, ice, medication management, stretching, compression or point of pain with an elbow strap.</p>
"	['epicondyl', 'elbow', 'injuri', 'often', 'suffer', 'peopl', 'job', 'involv', 'repetit', 'arm', 'movement', 'tenni', 'player', 'therefor', 'also', 'known', 'tenni', 'elbow', 'thi', 'condit', 'affect', 'muscl', 'tendon', 'locat', 'outsid', 'elbow', 'clearest', 'symptom', 'swell', 'pain', 'area', 'spread', 'muscl', 'near', 'elbow', 'usual', 'troubl', 'notic', 'dure', 'work', 'hour', 'complet', 'effort', 'like', 'pick', 'object', 'hand', 'sometim', 'caus', 'patient', 'lack', 'strength', 'hi', 'forearm', 'usual', 'treatment', 'includ', 'rest', 'ice', 'medic', 'manag', 'stretch', 'compress', 'point', 'pain', 'elbow', 'strap']
1338	en-US	291	Elbow Pain 			"<p><span style=""line-height: 23.1111px;"">Elbow pain encompasses all issues that may affect the elbow joint. The cause most often causes pain in this area is tendinitis, or inflammation of the tendons. In this sense, the players tend to injure the tendons on the outside of the elbow, a condition called epicondylitis or tennis elbow. That injury also suffer the people who make repeated movements, especially of rotation of the forearm or wrist extension. Other causes of elbow pain may be bursitis, arthritis, muscle strain or infection. The painful elbow can also occur as a result of a problem in the spine. Therefore, treatment depends on the cause and type of injury.</span></p>
"	['elbow', 'pain', 'encompass', 'issu', 'may', 'affect', 'elbow', 'joint', 'caus', 'often', 'caus', 'pain', 'thi', 'area', 'tendin', 'inflamm', 'tendon', 'In', 'thi', 'sens', 'player', 'tend', 'injur', 'tendon', 'outsid', 'elbow', 'condit', 'call', 'epicondyl', 'tenni', 'elbow', 'injuri', 'also', 'suffer', 'peopl', 'make', 'repeat', 'movement', 'especi', 'rotat', 'forearm', 'wrist', 'extens', 'caus', 'elbow', 'pain', 'may', 'bursiti', 'arthriti', 'muscl', 'strain', 'infect', 'pain', 'elbow', 'also', 'occur', 'result', 'problem', 'spine', 'therefor', 'treatment', 'depend', 'caus', 'type', 'injuri']
1342	en-US	328	Vertebroplasty 			"<p>Vertebroplasty is a minimally invasive procedure for treating acute spinal fractures. In vertebroplasty a cement mixture into the fractured bone is injected through a hollow needle. Typically, vertebroplasty is recommended when have failed other less invasive treatments (such as rest a back support or analgesics) or when medications have begun to cause unwanted side effects such as ulcers or stomach problems.</p>
"	['vertebroplasti', 'minim', 'invas', 'procedur', 'treat', 'acut', 'spinal', 'fractur', 'In', 'vertebroplasti', 'cement', 'mixtur', 'fractur', 'bone', 'inject', 'hollow', 'needl', 'typic', 'vertebroplasti', 'recommend', 'fail', 'less', 'invas', 'treatment', 'rest', 'back', 'support', 'analges', 'medic', 'begun', 'caus', 'unwant', 'side', 'effect', 'ulcer', 'stomach', 'problem']
1343	en-US	2251	Hereditary cardiopathies			"<p>Hereditary cardiopathies</p>
"	['hereditari', 'cardiopathi']
